country,dates,confirmed_cases,confirmed_deaths,Apple_DrivingMobility,Apple_TransitMobility,Apple_WalkingMobility,day
Afghanistan,2020-02-23T13:00:00Z,1,0,0,0,0,1
Afghanistan,2020-02-24T13:00:00Z,1,0,0,0,0,2
Afghanistan,2020-02-25T13:00:00Z,1,0,0,0,0,3
Afghanistan,2020-02-26T13:00:00Z,1,0,0,0,0,4
Afghanistan,2020-02-27T13:00:00Z,1,0,0,0,0,5
Afghanistan,2020-02-28T13:00:00Z,1,0,0,0,0,6
Afghanistan,2020-02-29T13:00:00Z,1,0,0,0,0,7
Afghanistan,2020-03-01T13:00:00Z,1,0,0,0,0,8
Afghanistan,2020-03-02T13:00:00Z,1,0,0,0,0,9
Afghanistan,2020-03-03T13:00:00Z,1,0,0,0,0,10
Afghanistan,2020-03-04T13:00:00Z,1,0,0,0,0,11
Afghanistan,2020-03-05T13:00:00Z,1,0,0,0,0,12
Afghanistan,2020-03-06T13:00:00Z,1,0,0,0,0,13
Afghanistan,2020-03-07T13:00:00Z,4,0,0,0,0,14
Afghanistan,2020-03-08T13:00:00Z,4,0,0,0,0,15
Afghanistan,2020-03-09T13:00:00Z,5,0,0,0,0,16
Afghanistan,2020-03-10T13:00:00Z,7,0,0,0,0,17
Afghanistan,2020-03-11T13:00:00Z,7,0,0,0,0,18
Afghanistan,2020-03-12T13:00:00Z,7,0,0,0,0,19
Afghanistan,2020-03-13T13:00:00Z,11,0,0,0,0,20
Afghanistan,2020-03-14T13:00:00Z,16,0,0,0,0,21
Afghanistan,2020-03-15T13:00:00Z,21,0,0,0,0,22
Afghanistan,2020-03-16T13:00:00Z,22,0,0,0,0,23
Afghanistan,2020-03-17T13:00:00Z,22,0,0,0,0,24
Afghanistan,2020-03-18T13:00:00Z,22,0,0,0,0,25
Afghanistan,2020-03-19T13:00:00Z,24,0,0,0,0,26
Afghanistan,2020-03-20T13:00:00Z,24,0,0,0,0,27
Afghanistan,2020-03-21T13:00:00Z,40,1,0,0,0,28
Afghanistan,2020-03-22T13:00:00Z,40,1,0,0,0,29
Afghanistan,2020-03-23T13:00:00Z,74,1,0,0,0,30
Afghanistan,2020-03-24T13:00:00Z,84,2,0,0,0,31
Afghanistan,2020-03-25T13:00:00Z,94,4,0,0,0,32
