country_iso3,country_name,indicator_id,indicator,subindicator_type,x2018
AGO,Angola,665,Public trust in politicians,1-7 Best,1.823266272
ALB,Albania,665,Public trust in politicians,1-7 Best,3.26639533
ARE,United Arab Emirates,665,Public trust in politicians,1-7 Best,6.306005001
ARG,Argentina,665,Public trust in politicians,1-7 Best,1.923173785
ARM,Armenia,665,Public trust in politicians,1-7 Best,3.231405497
AUS,Australia,665,Public trust in politicians,1-7 Best,4.635008335
AUT,Austria,665,Public trust in politicians,1-7 Best,4.146927357
AZE,Azerbaijan,665,Public trust in politicians,1-7 Best,4.65460968
BDI,Burundi,665,Public trust in politicians,1-7 Best,3.334472656
BEL,Belgium,665,Public trust in politicians,1-7 Best,4.204591751
BEN,Benin,665,Public trust in politicians,1-7 Best,2.24535799
BFA,Burkina Faso,665,Public trust in politicians,1-7 Best,2.554127813
BGD,Bangladesh,665,Public trust in politicians,1-7 Best,2.274816275
BGR,Bulgaria,665,Public trust in politicians,1-7 Best,2.63022089
BHR,Bahrain,665,Public trust in politicians,1-7 Best,4.543157101
BIH,Bosnia and Herzegovina,665,Public trust in politicians,1-7 Best,1.923409343
BLZ,Belize,665,Public trust in politicians,1-7 Best,1.795604
BOL,Bolivia,665,Public trust in politicians,1-7 Best,1.485235871
BRA,Brazil,665,Public trust in politicians,1-7 Best,1.324436545
BRB,Barbados,665,Public trust in politicians,1-7 Best,3.356330685
BRN,Brunei Darussalam,665,Public trust in politicians,1-7 Best,4.238534927
BTN,Bhutan,665,Public trust in politicians,1-7 Best,4.540268421
BWA,Botswana,665,Public trust in politicians,1-7 Best,3.672951221
CAN,Canada,665,Public trust in politicians,1-7 Best,4.97692585
CHE,Switzerland,665,Public trust in politicians,1-7 Best,5.53970623
CHL,Chile,665,Public trust in politicians,1-7 Best,3.035134077
CHN,China,665,Public trust in politicians,1-7 Best,4.465283394
CIV,Cote d'Ivoire,665,Public trust in politicians,1-7 Best,3.571812451
CMR,Cameroon,665,Public trust in politicians,1-7 Best,2.916423082
COD,"Congo, Dem. Rep.",665,Public trust in politicians,1-7 Best,2.379808426
COL,Colombia,665,Public trust in politicians,1-7 Best,1.729833007
CPV,Cabo Verde,665,Public trust in politicians,1-7 Best,3.619915009
CRI,Costa Rica,665,Public trust in politicians,1-7 Best,3.202897787
CYP,Cyprus,665,Public trust in politicians,1-7 Best,2.78682971
CZE,Czech Republic,665,Public trust in politicians,1-7 Best,2.575603485
DEU,Germany,665,Public trust in politicians,1-7 Best,5.135063171
DNK,Denmark,665,Public trust in politicians,1-7 Best,5.108123779
DOM,Dominican Republic,665,Public trust in politicians,1-7 Best,1.464212537
DZA,Algeria,665,Public trust in politicians,1-7 Best,2.8242411609999998
ECU,Ecuador,665,Public trust in politicians,1-7 Best,1.577710867
EGY,"Egypt, Arab Rep.",665,Public trust in politicians,1-7 Best,3.01010108
ESP,Spain,665,Public trust in politicians,1-7 Best,2.240394831
EST,Estonia,665,Public trust in politicians,1-7 Best,3.768507957
ETH,Ethiopia,665,Public trust in politicians,1-7 Best,3.732903957
